,Relation,Accuracy,Count,Dataset
0,above,0.5539033457249071,269,Visual Genome Relation
1,adjusting,1.0,1,Visual Genome Relation
2,around,0.3181818181818182,22,Visual Genome Relation
3,at,0.6,75,Visual Genome Relation
4,attached to,0.3333333333333333,3,Visual Genome Relation
5,behind,0.4651567944250871,574,Visual Genome Relation
6,below,0.5263157894736842,209,Visual Genome Relation
7,beneath,0.2,10,Visual Genome Relation
8,beside,0.42857142857142855,56,Visual Genome Relation
9,between,0.75,4,Visual Genome Relation
10,bigger than,1.0,1,Visual Genome Relation
11,biting,1.0,1,Visual Genome Relation
12,boarding,1.0,2,Visual Genome Relation
13,brushing,1.0,1,Visual Genome Relation
14,by,0.44554455445544555,101,Visual Genome Relation
15,carrying,0.8333333333333334,12,Visual Genome Relation
16,chewing,1.0,1,Visual Genome Relation
17,cleaning,1.0,1,Visual Genome Relation
18,climbing,0.0,1,Visual Genome Relation
19,close to,0.8,5,Visual Genome Relation
20,coming from,0.0,5,Visual Genome Relation
21,coming out of,0.0,1,Visual Genome Relation
22,contain,0.5,6,Visual Genome Relation
23,covered by,0.4444444444444444,36,Visual Genome Relation
24,covered in,0.35714285714285715,14,Visual Genome Relation
25,covered with,0.375,16,Visual Genome Relation
26,covering,0.36363636363636365,33,Visual Genome Relation
27,crossing,0.75,8,Visual Genome Relation
28,cutting,0.8333333333333334,12,Visual Genome Relation
29,dragging,1.0,1,Visual Genome Relation
30,draped over,0.0,1,Visual Genome Relation
31,drinking,1.0,2,Visual Genome Relation
32,drinking from,0.0,1,Visual Genome Relation
33,driving,0.0,1,Visual Genome Relation
34,driving down,1.0,1,Visual Genome Relation
35,driving on,0.5,6,Visual Genome Relation
36,eating,0.6666666666666666,21,Visual Genome Relation
37,eating from,1.0,4,Visual Genome Relation
38,eating in,1.0,2,Visual Genome Relation
39,enclosing,0.0,1,Visual Genome Relation
40,exiting,1.0,1,Visual Genome Relation
41,facing,0.6666666666666666,3,Visual Genome Relation
42,feeding,0.3,10,Visual Genome Relation
43,filled with,0.6666666666666666,6,Visual Genome Relation
44,floating in,1.0,3,Visual Genome Relation
45,floating on,1.0,1,Visual Genome Relation
46,flying,0.5,4,Visual Genome Relation
47,flying above,1.0,1,Visual Genome Relation
48,flying in,1.0,7,Visual Genome Relation
49,flying over,1.0,1,Visual Genome Relation
50,flying through,1.0,1,Visual Genome Relation
51,full of,0.75,4,Visual Genome Relation
52,going down,1.0,1,Visual Genome Relation
53,going into,0.0,1,Visual Genome Relation
54,going through,0.5,2,Visual Genome Relation
55,grazing in,1.0,2,Visual Genome Relation
56,grazing on,0.8,10,Visual Genome Relation
57,growing in,0.3333333333333333,3,Visual Genome Relation
58,growing on,0.25,8,Visual Genome Relation
59,guiding,0.0,1,Visual Genome Relation
60,hanging from,1.0,3,Visual Genome Relation
61,hanging in,0.0,1,Visual Genome Relation
62,hanging off,1.0,2,Visual Genome Relation
63,hanging on,0.7142857142857143,14,Visual Genome Relation
64,hanging over,0.0,1,Visual Genome Relation
65,higher than,0.0,1,Visual Genome Relation
66,holding,0.5915492957746479,142,Visual Genome Relation
67,holding onto,0.0,1,Visual Genome Relation
