,Relation,Accuracy,Count,Dataset
0,above,0.4721189591078067,269,Visual Genome Relation
1,adjusting,1.0,1,Visual Genome Relation
2,around,0.5,22,Visual Genome Relation
3,at,0.8266666666666667,75,Visual Genome Relation
4,attached to,0.6666666666666666,3,Visual Genome Relation
5,behind,0.519163763066202,574,Visual Genome Relation
6,below,0.41148325358851673,209,Visual Genome Relation
7,beneath,0.4,10,Visual Genome Relation
8,beside,0.4642857142857143,56,Visual Genome Relation
9,between,0.75,4,Visual Genome Relation
10,bigger than,1.0,1,Visual Genome Relation
11,biting,1.0,1,Visual Genome Relation
12,boarding,1.0,2,Visual Genome Relation
13,brushing,1.0,1,Visual Genome Relation
14,by,0.5544554455445545,101,Visual Genome Relation
15,carrying,0.6666666666666666,12,Visual Genome Relation
16,chewing,1.0,1,Visual Genome Relation
17,cleaning,1.0,1,Visual Genome Relation
18,climbing,1.0,1,Visual Genome Relation
19,close to,0.4,5,Visual Genome Relation
20,coming from,0.6,5,Visual Genome Relation
21,coming out of,1.0,1,Visual Genome Relation
22,contain,0.5,6,Visual Genome Relation
23,covered by,0.5833333333333334,36,Visual Genome Relation
24,covered in,0.6428571428571429,14,Visual Genome Relation
25,covered with,0.4375,16,Visual Genome Relation
26,covering,0.30303030303030304,33,Visual Genome Relation
27,crossing,0.75,8,Visual Genome Relation
28,cutting,0.4166666666666667,12,Visual Genome Relation
29,dragging,1.0,1,Visual Genome Relation
30,draped over,0.0,1,Visual Genome Relation
31,drinking,0.0,2,Visual Genome Relation
32,drinking from,1.0,1,Visual Genome Relation
33,driving,0.0,1,Visual Genome Relation
34,driving down,1.0,1,Visual Genome Relation
35,driving on,0.5,6,Visual Genome Relation
36,eating,0.6666666666666666,21,Visual Genome Relation
37,eating from,1.0,4,Visual Genome Relation
38,eating in,1.0,2,Visual Genome Relation
39,enclosing,0.0,1,Visual Genome Relation
40,exiting,1.0,1,Visual Genome Relation
41,facing,0.6666666666666666,3,Visual Genome Relation
42,feeding,0.2,10,Visual Genome Relation
43,filled with,0.6666666666666666,6,Visual Genome Relation
44,floating in,1.0,3,Visual Genome Relation
45,floating on,1.0,1,Visual Genome Relation
46,flying,0.25,4,Visual Genome Relation
47,flying above,1.0,1,Visual Genome Relation
48,flying in,0.8571428571428571,7,Visual Genome Relation
49,flying over,1.0,1,Visual Genome Relation
50,flying through,1.0,1,Visual Genome Relation
51,full of,0.75,4,Visual Genome Relation
52,going down,1.0,1,Visual Genome Relation
53,going into,0.0,1,Visual Genome Relation
54,going through,1.0,2,Visual Genome Relation
55,grazing in,0.5,2,Visual Genome Relation
56,grazing on,0.4,10,Visual Genome Relation
57,growing in,0.3333333333333333,3,Visual Genome Relation
58,growing on,0.25,8,Visual Genome Relation
59,guiding,0.0,1,Visual Genome Relation
60,hanging from,0.0,3,Visual Genome Relation
61,hanging in,0.0,1,Visual Genome Relation
62,hanging off,1.0,2,Visual Genome Relation
63,hanging on,0.5714285714285714,14,Visual Genome Relation
64,hanging over,1.0,1,Visual Genome Relation
65,higher than,1.0,1,Visual Genome Relation
66,holding,0.49295774647887325,142,Visual Genome Relation
67,holding onto,1.0,1,Visual Genome Relation
68,hugging,0.0,3,Visual Genome Relation
69,in,0.6242937853107344,708,Visual Genome Relation
70,in between,1.0,1,Visual Genome Relation
71,in front of,0.532312925170068,588,Visual Genome Relation
72,inside,0.5,58,Visual Genome Relation
73,jumping off,0.0,1,Visual Genome Relation
74,jumping on,1.0,1,Visual Genome Relation
75,jumping over,1.0,3,Visual Genome Relation
76,kept in,0.0,3,Visual Genome Relation
77,larger than,1.0,1,Visual Genome Relation
78,leading,0.0,2,Visual Genome Relation
79,leaning against,0.6666666666666666,9,Visual Genome Relation
80,leaning on,0.5,12,Visual Genome Relation
81,leaning over,0.875,8,Visual Genome Relation
82,leaving,1.0,1,Visual Genome Relation
83,licking,0.0,1,Visual Genome Relation
84,longer than,1.0,1,Visual Genome Relation
85,looking at,0.7741935483870968,31,Visual Genome Relation
86,looking in,0.8571428571428571,7,Visual Genome Relation
87,looking into,1.0,3,Visual Genome Relation
88,looking out,1.0,2,Visual Genome Relation
89,looking over,1.0,1,Visual Genome Relation
90,looking through,1.0,1,Visual Genome Relation
91,lying in,0.5333333333333333,15,Visual Genome Relation
92,lying next to,1.0,1,Visual Genome Relation
93,lying on,0.6333333333333333,60,Visual Genome Relation
94,lying on top of,0.2857142857142857,7,Visual Genome Relation
95,making,1.0,1,Visual Genome Relation
96,mixed with,1.0,1,Visual Genome Relation
97,mounted on,0.3333333333333333,3,Visual Genome Relation
98,moving,1.0,1,Visual Genome Relation
99,near,0.5079825834542816,689,Visual Genome Relation
100,next to,0.4729064039408867,203,Visual Genome Relation
